EnglishCommon,LatinSpecies,Family,Order,Length,Voice
Western Sandpiper,Calidris mauri,Scolopacidae,Charadriiformes,15.5,"A harsh  "" jeet  "" is the most commonly heard call, usually from flying or feeding birds. They make various distress, alarm, and contact calls mostly on the breeding grounds. Displaying males sing a brief song that begins with a high, thin, rising  "" te-e-e-e-e ""  "" tweer-tweer-tweer  "" and closes with a falling, buzzy trill."
Western Screech-Owl,Megascops kennicottii,Strigidae,Strigiformes,22,"To stay in contact, pairs of screech-owls use a short  "" double trill ""  call; when agitated, they make a barking sound. Adult females whinny in response to the male's bouncing ball song, and to solicit feeding and copulation. Heard at dusk and into the night, the Western Screech-Owl's most distinctive vocalization is its  "" bouncing ball ""  song: a series of 5-9 short, whistled hoots, speeding up ping-pong-ball fashion toward the end. The male uses this for territorial and courtship advertising, often calling from a nest tree or a prospective nest site. In duets sung by a mating pair, the female's notes are interspersed with the male's—her voice higher than her mate's, despite her larger size. "
Western Tanager,Piranga ludoviciana,Cardinalidae,Passeriformes,17.5,"The most common call of the Western Tanager is a short, 2-3 note chuckling or rattling call, similar to a Summer Tanager's call. Male Western Tanagers sing a short, rasping song that lasts about 2.5 seconds and consists of a few short, burry up-and-down phrases, sometimes likened to the bird asking and answering a series of rapid-fire questions. The song is reminiscent of an American Robin's song but usually shorter and hoarser or raspier in tone."
Western Wood-Pewee,Contopus sordidulus,Tyrannidae,Passeriformes,15,"Males and females give a burry  "" bzew "" when communicating with their mates or when defending their nests. The call has a similar quality to the  "" pee-wee "" song but it has only one syllable. They repeat this call every 0.5-2 seconds. Western Wood-Pewees sing a burry and nasal sounding version of their own name,  "" pee-wee "" or  "" pee-er "" . This song is sung from an exposed perch and is heard throughout the day on the breeding grounds and during migration. At dawn males sing a long  "" peee "" followed by two short  "" pip pip "" notes, with a bit of the  "" pee-wee "" song thrown in as well. Their song is much burrier and shorter than the <a href= "" /guide/Eastern_Wood-Pewee/sounds "" >Eastern Wood-Pewee's song</a>."
Whimbrel,Numenius phaeopus,Scolopacidae,Charadriiformes,44.5,"Flying Whimbrels often give a series of mellow, piping whistles, all on the same pitch, very similar to other curlews, and a soft, whistled  "" cur-lee "" . Birds in courtship or conflict (or simply in contact) on the breeding grounds also deliver a more whining or screaming whistle,  "" wee-ee.  "" Many other low whistles and trills are also heard on the breeding grounds. Males in aerial display deliver a song comprised of staccato, sputtering rising whistles<strong>.</strong>"
White Ibis,Eudocimus albus,Threskiornithidae,Pelecaniformes,62,"Their call is a rather unmusical, harsh and nasal honk given in flight or while foraging. "
White-breasted Nuthatch,Sitta carolinensis,Sittidae,Passeriformes,13.5,"The White-breasted Nuthatch's most common call is a loud, nasal  "" yank "" often repeated a few times in a row. Both sexes make this call, and it often has a more trembling, almost bleating quality, than either the bird's song or the Red-breasted Nuthatch's call. When looking for food, males and females exchange a soft  "" yink "" . Male White-breasted Nuthatches sing in late winter and spring, a rapid, nasal, fairly low-pitched  "" wha-wha-wha "" that lasts 2-3 seconds. It's made up of a half-dozen to a dozen nearly identical notes. Males sing these songs at two rates, with the faster version packing in twice as many notes in the same amount of time. The fast version is thought to be the main one used for mate attraction."
White-crowned Pigeon,Patagioenas leucocephala,Columbidae,Columbiformes,34,"Call is a gruff, three-part growl. Song is a repeated  "" coo. ""  "
White-crowned Sparrow,Zonotrichia leucophrys,Passerellidae,Passeriformes,15.5,"White-crowned Sparrows have about 10 different calls. The most frequently heard include a sharp  "" pink "" , lower-pitched than the White-throated Sparrow's call. It's usually made by males or as an alarm call near the nest. They also make a harsh, rasping call used by sparrows during altercations. The song of the White-crowned Sparrow Is one of the most-studied sounds in all of animal behavior. Different subspecies across the country sing clearly different songs, but they're all recognizable by the sweet, whistling introduction, a succession of jumbled whistles, and a buzz or trill near the end. Songs last 2-3 seconds. Females sing only rarely."
White-eyed Vireo,Vireo griseus,Vireonidae,Passeriformes,12,"Their calls include a short  "" zip  "" and a harsh, nasal  "" mew "" that sounds a bit like a Blue-gray Gnatcatcher. The White-eyed Vireo's song is rapid, harsh, and nasal with sharp chips at beginning and end. They sing several different series of notes, repeating each series multiple times before switching to a new series. They even mimic the sounds of other birds, often sounding like a Gray Catbird. Some suggest that they sing  "" Spit "" .  "" And see if I care "" .  "" Spit "" . while others suggest they sing  "" Pik-chicka-weew "" . They sing at all hours of the day, but tend to sing more frequently at dawn and dusk. Males and females sing on the wintering grounds, but only males have been observed singing on the breeding grounds. "
White-faced Ibis,Plegadis chihi,Threskiornithidae,Pelecaniformes,51,"Nasal moaning  "" urm. ""  Croaks and rattles at breeding colony. "
White-headed Woodpecker,Dryobates albolarvatus,Picidae,Piciformes,22,"A high-pitched, sharp, very rapid  "" pee "" - "" kik "" or  "" pee "" - "" kik-kik  "" is the most commonly heard call, with longer rattling calls sounding similar but longer. "
White-rumped Sandpiper,Calidris fuscicollis,Scolopacidae,Charadriiformes,16.5,"A very high-pitched, electric-sounding  "" tzeet  "" often likened to a mouse squeak. Males sing a bizarre, mechanical-sounding, insectlike song, which alternates rapidly between a wiry buzzing sound and a low, guttural or snoring sound."
White-tailed Hawk,Geranoaetus albicaudatus,Accipitridae,Accipitriformes,49,"Adults give a scratchy, high-pitched call that begins with a rising whine followed by a series of two-parted notes. Begging juveniles give a nasal, whistled  "" peeeeee-up "" . "
White-tailed Kite,Elanus leucurus,Accipitridae,Accipitriformes,35,"White-tailed Kites give a quiet whistled  "" yelp "" year-round. "
White-tailed Ptarmigan,Lagopus leucura,Phasianidae,Galliformes,30.5,"White-tailed Ptarmigan are most vocal during the nesting season. Both sexes produce a series of nasal clucks and growls. No song in the conventional sense, but males often deliver a so-called  "" flight scream, ""  a short series of high, screeching clucks, given during aerial displays over territory."
White-throated Sparrow,Zonotrichia albicollis,Passerellidae,Passeriformes,17,"The main call of the White-throated Sparrow is a sharp, explosive,  "" chink "" , often given by an agitated bird with crown feathers raised, flicking its tail. It's an alarm call often given near a nest or when a predator or other threat has been spotted. A two-parted  "" chip-up "" is a sign of aggression between two birds or given when adults arrive at the nest. White-throated Sparrows also make a trill that can be up to 2 seconds long. Females do this as part of courtship; males sometimes use trills to signal aggression as they push their head forward and flutter their wings. Flock members make a high, level  "" seep "" . White-throated Sparrows sing a pretty, thin whistle that sounds like  "" Oh-sweet-canada-canada "" or  "" Old-Sam-Peabody-Peabody "" . The whistles are even but typically move slightly up or down in pitch by the second or third note. The whole song lasts about 4 seconds. White-throated Sparrows sing often during the breeding season, even in the middle of the day, and on their winter range as well. Males of both forms sing, and so does the 'white-striped' female. 'Tan-striped' females sing very rarely."
White-throated Swift,Aeronautes saxatalis,Apodidae,Caprimulgiformes,16.5,"A harsh, rattling  "" screeee "" given in flight is the most commonly heard call, but single- and double-noted calls are also occasionally heard. "
White-tipped Dove,Leptotila verreauxi,Columbidae,Columbiformes,28,"Both sexes give cooing calls at the nest. Song is a low-pitched  "" wo-woo-ooo "" , like the sound of someone blowing across the mouth of an empty bottle. Males in courtship display give a more guttural cooing sound, and females respond with cooing notes."
